"","Date.and.Time..UTC.","Transmitter","Receiver","Transmitter.Name","Transmitter.Serial","Sensor.Value","Sensor.Unit","Statione.Name","Latitude","Longitude","Transmitter.Type","Sensor.Precision"
"49","2024-07-29 18:26:56.05556","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2024-07-29 18:27:11.055855","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2024-07-29 18:27:36.056327","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2024-07-29 18:27:41.056476","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2024-07-29 18:27:46.056504","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2024-07-29 18:27:49.59781","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2024-07-29 18:27:56.056725","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2024-07-29 18:28:11.057066","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2024-07-29 18:28:16.057109","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2024-07-29 18:28:26.057316","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2024-07-29 18:28:31.057388","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2024-07-29 18:28:56.05786","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2024-07-29 18:29:01.057963","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2024-07-29 18:29:06.05822","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2024-07-29 18:29:21.058408","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2024-07-29 18:29:31.058538","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2024-07-29 18:30:01.059129","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2024-07-29 18:30:11.059321","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2024-07-29 18:30:16.059439","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2024-07-29 18:30:31.059719","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2024-07-29 18:30:36.059776","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2024-07-29 18:30:41.060063","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2024-07-29 18:30:51.060087","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2024-07-29 18:30:56.060175","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2024-07-29 18:31:06.060626","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2024-07-29 18:31:16.060558","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2024-07-29 18:31:21.060662","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2024-07-29 18:31:36.060957","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2024-07-29 18:31:51.061252","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2024-07-29 18:32:16.061723","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2024-07-29 18:32:36.062107","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2024-07-29 18:32:51.062402","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2024-07-29 18:33:01.062593","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2024-07-29 18:33:16.062889","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2024-07-29 18:33:21.062961","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2024-07-29 18:33:26.063064","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2024-07-29 18:33:31.063138","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2024-07-29 18:33:41.063344","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2024-07-29 18:33:46.063433","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2024-07-29 18:33:51.063566","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2024-07-29 18:33:56.063609","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","2024-07-29 18:34:06.063816","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","2024-07-29 18:34:11.063935","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","2024-07-29 18:34:16.064053","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2024-07-29 18:34:21.064126","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","2024-07-29 18:34:46.064582","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","2024-07-29 18:34:51.064686","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","2024-07-29 18:35:06.065027","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","2024-07-29 18:35:16.065173","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2024-07-29 18:35:21.065291","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","2024-07-29 18:35:26.065349","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2024-07-29 18:35:36.065571","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2024-07-29 18:35:41.065645","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","2024-07-29 18:35:51.06582","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2024-07-29 18:35:56.06594","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","2024-07-29 18:36:01.066012","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","2024-07-29 18:36:11.066189","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","2024-07-29 18:36:16.066322","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2024-07-29 18:36:21.066396","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2024-07-29 18:36:26.066499","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2024-07-29 18:36:31.066617","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","2024-07-29 18:36:51.066986","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","2024-07-29 18:37:06.067189","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","2024-07-29 18:37:26.06745","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","2024-07-29 18:37:36.067642","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","2024-07-29 18:37:41.067715","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","2024-07-29 18:37:46.067986","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","2024-07-29 18:37:56.068102","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","2024-07-29 18:38:26.069134","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","2024-07-29 18:38:56.069602","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","2024-07-29 18:39:46.070881","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","2024-07-29 18:39:51.071014","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","2024-07-29 18:41:16.073079","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","2024-07-29 18:41:56.073845","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","2024-07-29 18:42:11.074003","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2024-07-29 18:43:16.075974","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","2024-07-29 18:43:21.075634","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","2024-07-29 18:43:51.075966","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","2024-07-29 18:43:56.075916","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","2024-07-29 18:44:16.07543","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","2024-07-29 18:44:26.075529","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","2024-07-29 18:45:06.077913","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","2024-07-29 18:45:16.077525","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
