ID,Receiver_Code,Sync_Active,PPM_ID,HR_ID,GPS1_NFWF,GPS2_Shrimp,Lat1,Long1,Lat2,Long2,Y1,X1,X2,Y2
1,461359,no,,,21,23,18.321313,-65.817005,18.321145,-65.817013,2028037.291717,202232.314682,2028018.699157,202231.180714
2,461356,no,,,22,24,18.321250,-65.817033,18.321100,-65.817061,2028030.360409,202229.245131,2028013.794033,202226.026543
3,461358,yes,A180-1702-62358,H170-1802-62358,23,25,18.321270,-65.817037,18.321187,-65.817015,2028032.581911,202228.856302,2028023.353841,202231.041116
